Date,Bengaluru_WholesalePrice,Bengaluru_RetailPrice,Bengaluru_Volume,Avg_Temperature
2015-01-01 00:00:00,1758,2791,74978,20.1
2015-02-01 00:00:00,1815,2750,42164,22.8
2015-03-01 00:00:00,1576,2396,41339,27.1
2015-04-01 00:00:00,1455,2260,43534,31.2
2015-05-01 00:00:00,1725,2458,44227,33.4
2015-06-01 00:00:00,2182,3145,43403,32.6
2015-07-01 00:00:00,2357,3314,45957,29.4
2015-08-01 00:00:00,2727,4029,83437,28.1
2015-09-01 00:00:00,2536,4391,114533,28.6
2015-10-01 00:00:00,2223,3914,173788,28.4
2015-11-01 00:00:00,2664,4264,77516,24.5
2015-12-01 00:00:00,1494,3000,53853,21
2016-01-01 00:00:00,1758,2770,32806,20.1
2016-02-01 00:00:00,1569,2592,21241,22.8
2016-03-01 00:00:00,1246,2274,22587,27.1
2016-04-01 00:00:00,1153,2105,22022,31.2
2016-05-01 00:00:00,1004,2050,23161,33.4
2016-06-01 00:00:00,1048,2091,22649,32.6
2016-07-01 00:00:00,929,2000,21285,29.4
2016-08-01 00:00:00,863,2000,27800,28.1
2016-09-01 00:00:00,786,2000,23551,28.6
2016-10-01 00:00:00,805,2027,28165,28.4
2016-11-01 00:00:00,1086,2145,25731,24.5
2016-12-01 00:00:00,910,2040,29308,21
2017-01-01 00:00:00,738,1421,57637,20.1
2017-02-01 00:00:00,754,1333,35628,22.8
2017-03-01 00:00:00,685,1238,45279,27.1
2017-04-01 00:00:00,622,1213,48714,31.2
2017-05-01 00:00:00,581,1055,49261,33.4
2017-06-01 00:00:00,713,1279,54196,32.6
2017-07-01 00:00:00,740,1292,49617,29.4
2017-08-01 00:00:00,1987,3096,27910,28.1
2017-09-01 00:00:00,1511,2573,53549,28.6
2017-10-01 00:00:00,1987,3189,98684,28.4
2017-11-01 00:00:00,3011,4578,65469,24.5
2017-12-01 00:00:00,2991,4295,45268,21
2018-01-01 00:00:00,2859,4130,43258,20.1
2018-02-01 00:00:00,1526,2653,36718,22.8
2018-03-01 00:00:00,882,1721,52904,27.1
2018-04-01 00:00:00,608,1290,53721,31.2
2018-05-01 00:00:00,638,1262,44139,33.4
2018-06-01 00:00:00,824,1446,69265,32.6
2018-07-01 00:00:00,1036,1756,55239,29.4
2018-08-01 00:00:00,1059,1882,55729,28.1
2018-09-01 00:00:00,967,1722,61700,28.6
2018-10-01 00:00:00,1112,1800,129269,28.4
2018-11-01 00:00:00,1071,1805,137285,24.5
2018-12-01 00:00:00,639,1265,65121,21
2019-01-01 00:00:00,545,1586,61363,20.1
2019-02-01 00:00:00,491,1035,50224,22.8
2019-03-01 00:00:00,646,1217,53392,27.1
2019-04-01 00:00:00,740,1405,48478,31.2
2019-05-01 00:00:00,796,1513,45229,33.4
2019-06-01 00:00:00,1123,1900,47577,32.6
2019-07-01 00:00:00,1113,1859,52246,29.4
2019-08-01 00:00:00,1577,2625,51765,28.1
2019-09-01 00:00:00,2620,3978,63188,28.6
2019-10-01 00:00:00,2463,3825,139206,28.4
2019-11-01 00:00:00,4771,8367,102924,24.5
2019-12-01 00:00:00,7792,10604,50300,21
2020-01-01 00:00:00,3280,5500,39474,20.1
2020-02-01 00:00:00,1966,3384,44473,22.8
2020-03-01 00:00:00,1494,2638,46386,27.1
2020-04-01 00:00:00,1543.107692,2590.338462,54324.35385,31.2
2020-05-01 00:00:00,1543.107692,2590.338462,54324.35385,33.4
2020-06-01 00:00:00,850,1436,45336,32.6
2020-07-01 00:00:00,825,1400,14927,29.4
